R-DRE-1428517	The citric acid (TCA) cycle and respiratory electron transport	119	119	1	1	1	1	1	1	1	1	1	16	118	4767	0.93731	0.34195	0.34195	0.84	794081	ucp3	ENSDARG00000091209		0.0049864	0.0049864	0.0049864		0.0049864		0.00256242	0.00256242	0.00256242		0.00256242		0.00970342	0.00970342	0.00970342		0.00970342										0.0049864	0.00256242	0.00970342	0	1	0															1	794081	ENSDARG00000091209	0.0049864	0.0049864		0.00256242	0.00256242		0.00970342	0.00970342		0.0049864	0.00256242	0.00970342	0						Poly 2,1(1)	1.9258249998092651	1.9258249998092651	1.9258249998092651	1.9258249998092651	0.0	1.9258249998092651	0.0049864	0.0049864	0.00256242	0.00256242	0.00970342	0.00970342	DOWN	0.0	1.0	0.0	
R-DRE-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	81	81	1	1	1	1	1	1	1	1	1	16	80	4805	0.96876	0.24702	0.24702	1.23	794081	ucp3	ENSDARG00000091209		0.0049864	0.0049864	0.0049864		0.0049864		0.00256242	0.00256242	0.00256242		0.00256242		0.00970342	0.00970342	0.00970342		0.00970342										0.0049864	0.00256242	0.00970342	0	1	0															1	794081	ENSDARG00000091209	0.0049864	0.0049864		0.00256242	0.00256242		0.00970342	0.00970342		0.0049864	0.00256242	0.00970342	0						Poly 2,1(1)	1.9258249998092651	1.9258249998092651	1.9258249998092651	1.9258249998092651	0.0	1.9258249998092651	0.0049864	0.0049864	0.00256242	0.00256242	0.00970342	0.00970342	DOWN	0.0	1.0	0.0	
R-DRE-9013149	RAC1 GTPase cycle	91	91	2	2	2	1	1	1	2	1	1	16	90	4795	0.96131	0.27318	0.27318	1.1	555604	nox1	ENSDARG00000087574		1.42044E-4	1.42044E-4	1.42044E-4		1.42044E-4		3.41062E-5	3.41062E-5	3.41062E-5		3.41062E-5		5.91578E-4	5.91578E-4	5.91578E-4		5.91578E-4										1.42044E-4	3.41062E-5	5.91578E-4	0	1	0															1	555604	ENSDARG00000087574	1.42044E-4	1.42044E-4		3.41062E-5	3.41062E-5		5.91578E-4	5.91578E-4		1.42044E-4	3.41062E-5	5.91578E-4	0						Hill,1(1)	2.351336717605591	2.351336717605591	2.351336717605591	2.351336717605591	0.0	2.351336717605591	1.42044E-4	1.42044E-4	3.41062E-5	3.41062E-5	5.91578E-4	5.91578E-4	DOWN	0.0	1.0	0.0	
R-DRE-9013404	RAC2 GTPase cycle	39	39	1	1	1	0	0	0	1	0	0	17	39	4846	0.87283	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9013423	RAC3 GTPase cycle	51	51	2	2	2	1	1	1	2	1	1	16	50	4835	0.98694	0.16313	0.16313	1.96	555604	nox1	ENSDARG00000087574		1.42044E-4	1.42044E-4	1.42044E-4		1.42044E-4		3.41062E-5	3.41062E-5	3.41062E-5		3.41062E-5		5.91578E-4	5.91578E-4	5.91578E-4		5.91578E-4										1.42044E-4	3.41062E-5	5.91578E-4	0	1	0															1	555604	ENSDARG00000087574	1.42044E-4	1.42044E-4		3.41062E-5	3.41062E-5		5.91578E-4	5.91578E-4		1.42044E-4	3.41062E-5	5.91578E-4	0						Hill,1(1)	2.351336717605591	2.351336717605591	2.351336717605591	2.351336717605591	0.0	2.351336717605591	1.42044E-4	1.42044E-4	3.41062E-5	3.41062E-5	5.91578E-4	5.91578E-4	DOWN	0.0	1.0	0.0	
R-DRE-1474228	Degradation of the extracellular matrix	49	59	1	1	1	1	1	0	1	0	0	17	59	4826	0.81368	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1474244	Extracellular matrix organization	117	129	3	3	1	3	3	2	3	0	0	17	129	4756	0.63501	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1592389	Activation of Matrix Metalloproteinases	21	31	1	1	1	1	1	0	1	0	0	17	31	4854	0.8976	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	35	36	1	1	1	1	1	1	1	1	1	16	35	4850	0.99335	0.11796	0.11796	2.78	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-5218859	Regulated Necrosis	19	21	1	1	1	1	1	1	1	1	1	16	20	4865	0.99771	0.070495	0.070495	4.76	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-75108	Activation, myristolyation of BID and translocation to mitochondria	1	2	1	1	1	1	1	1	1	1	1	16	1	4884	0.99999	0.0069246	0.0069246	50.0	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755		0.0	0.0533181	0.0	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-163685	Integration of energy metabolism	51	52	1	1	1	1	1	1	1	1	1	16	51	4834	0.98644	0.16606	0.16606	1.92	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-195721	Signaling by WNT	179	199	1	1	0	1	1	1	1	0	0	17	199	4686	0.49376	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-422356	Regulation of insulin secretion	41	41	1	1	1	1	1	1	1	1	1	16	40	4845	0.99143	0.13326	0.13326	2.44	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-1483206	Glycerophospholipid biosynthesis	67	69	1	1	1	1	1	1	1	1	1	16	68	4817	0.97683	0.21446	0.21446	1.45	541431	miga2	ENSDARG00000089357		0.00431549	0.00431549	0.00431549		0.00431549		0.00237892	0.00237892	0.00237892		0.00237892		0.00782854	0.00782854	0.00782854		0.00782854										0.00431549	0.00237892	0.00782854	1	0	1	541431	ENSDARG00000089357	0.00431549	0.00431549		0.00237892	0.00237892		0.00782854	0.00782854		0.00431549	0.00237892	0.00782854	0															0						Poly 2,1(1)	1.5408140420913696	1.5408140420913696	1.5408140420913696	1.5408140420913696	0.0	1.5408140420913696	0.00431549	0.00431549	0.00237892	0.00237892	0.00782854	0.00782854	UP	1.0	0.0	0.0	
R-DRE-1483257	Phospholipid metabolism	106	109	1	1	1	1	1	1	1	1	1	16	108	4777	0.94638	0.31812	0.31812	0.92	541431	miga2	ENSDARG00000089357		0.00431549	0.00431549	0.00431549		0.00431549		0.00237892	0.00237892	0.00237892		0.00237892		0.00782854	0.00782854	0.00782854		0.00782854										0.00431549	0.00237892	0.00782854	1	0	1	541431	ENSDARG00000089357	0.00431549	0.00431549		0.00237892	0.00237892		0.00782854	0.00782854		0.00431549	0.00237892	0.00782854	0															0						Poly 2,1(1)	1.5408140420913696	1.5408140420913696	1.5408140420913696	1.5408140420913696	0.0	1.5408140420913696	0.00431549	0.00431549	0.00237892	0.00237892	0.00782854	0.00782854	UP	1.0	0.0	0.0	
R-DRE-418555	G alpha (s) signalling events	74	113	1	1	1	1	1	1	1	1	1	16	112	4773	0.94281	0.32775	0.32775	0.88	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-5357905	Regulation of TNFR1 signaling	26	27	1	1	1	1	1	1	1	1	1	16	26	4859	0.99622	0.089761	0.089761	3.7	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-73887	Death Receptor Signalling	74	78	1	1	1	1	1	1	1	1	1	16	77	4808	0.97087	0.239	0.239	1.28	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-75893	TNF signaling	30	31	1	1	1	1	1	1	1	1	1	16	30	4855	0.99504	0.1024	0.1024	3.23	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-196849	Metabolism of water-soluble vitamins and cofactors	63	64	1	1	0	1	1	1	1	0	0	17	64	4821	0.79949	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2142753	Arachidonic acid metabolism	29	30	1	1	0	1	1	1	1	0	0	17	30	4855	0.90075	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9749641	Aspirin ADME	16	16	2	1	1	2	2	2	2	1	1	16	15	4870	0.99868	0.054148	0.054148	6.25	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434		0.0	0.0443404			0.025753		0.0763434		0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	12	13	1	1	1	1	1	1	1	1	1	16	12	4873	0.99914	0.04421	0.04421	7.69	550386	dapp1	ENSDARG00000039535		0.0450614	0.0450614	0.0450614		0.0450614		0.0259795	0.0259795	0.0259795		0.0259795		0.0781589	0.0781589	0.0781589		0.0781589		0.0	0.0450614			0.0259795		0.0781589		0.0450614	0.0259795	0.0781589	0	1	0															1	550386	ENSDARG00000039535	0.0450614	0.0450614		0.0259795	0.0259795		0.0781589	0.0781589		0.0450614	0.0259795	0.0781589	0						Linear,1(1)	1.6799910068511963	1.6799910068511963	1.6799910068511963	1.6799910068511963	0.0	1.6799910068511963	0.0450614	0.0450614	0.0259795	0.0259795	0.0781589	0.0781589	DOWN	0.0	1.0	0.0	
R-DRE-983705	Signaling by the B Cell Receptor (BCR)	55	59	1	1	1	1	1	1	1	1	1	16	58	4827	0.98275	0.18632	0.18632	1.69	550386	dapp1	ENSDARG00000039535		0.0450614	0.0450614	0.0450614		0.0450614		0.0259795	0.0259795	0.0259795		0.0259795		0.0781589	0.0781589	0.0781589		0.0781589										0.0450614	0.0259795	0.0781589	0	1	0															1	550386	ENSDARG00000039535	0.0450614	0.0450614		0.0259795	0.0259795		0.0781589	0.0781589		0.0450614	0.0259795	0.0781589	0						Linear,1(1)	1.6799910068511963	1.6799910068511963	1.6799910068511963	1.6799910068511963	0.0	1.6799910068511963	0.0450614	0.0450614	0.0259795	0.0259795	0.0781589	0.0781589	DOWN	0.0	1.0	0.0	
R-DRE-202733	Cell surface interactions at the vascular wall	55	57	2	2	1	2	2	1	2	0	0	17	57	4828	0.81942	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2172127	DAP12 interactions	17	20	1	1	1	1	1	0	1	0	0	17	20	4865	0.93275	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2424491	DAP12 signaling	15	15	1	1	1	1	1	0	1	0	0	17	15	4870	0.94915	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-168638	NOD1/2 Signaling Pathway	22	22	1	1	1	1	1	1	1	1	1	16	21	4864	0.99749	0.073733	0.073733	4.55	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-196807	Nicotinate metabolism	16	16	1	1	0	1	1	1	1	0	0	17	16	4869	0.94585	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-197264	Nicotinamide salvaging	9	9	1	1	0	1	1	1	1	0	0	17	9	4876	0.96919	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-6806834	Signaling by MET	47	47	1	1	0	1	1	1	1	0	0	17	47	4838	0.8487	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1474290	Collagen formation	34	34	2	2	0	2	2	2	2	0	0	17	34	4851	0.88824	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1650814	Collagen biosynthesis and modifying enzymes	30	30	2	2	0	2	2	2	2	0	0	17	30	4855	0.90075	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-8951664	Neddylation	142	148	4	3	2	4	4	3	4	2	2	15	146	4739	0.98656	0.091623	0.091623	1.35	767678;492328	cish;ankrd9	ENSDARG00000060316;ENSDARG00000028804		0.004686115	0.004686115	0.00312077	0.002213732128792913	0.004067055129867255	0.0020332583929329926	0.002376	0.002376	0.00194972	6.028509573684011E-4	0.002207415540062934	5.537037443755035E-4	0.009470639999999999	0.009470639999999999	0.00499518	0.006329256229858296	0.007700693000211265	0.00581326583420006									0.00312077;0.00625146	0.00194972;0.00280228	0.00499518;0.0139461	0	2	0															2	767678;492328	ENSDARG00000060316;ENSDARG00000028804	0.004686115	0.004686115	0.002213732128792913	0.002376	0.002376	6.028509573684011E-4	0.009470639999999999	0.009470639999999999	0.006329256229858296	0.00312077;0.00625146	0.00194972;0.00280228	0.00499518;0.0139461	0						Poly 2,2(1)	1.919790881391824	3.9182233810424805	1.5685715675354004	2.34965181350708	0.5523071385774312	1.9591116905212402	0.0016180388000000007	0.0077541912	0.0015404912000000002	0.0032115088	6.98738400000001E-4	0.018242541599999995	DOWN	0.0	1.0	0.0	
R-DRE-73886	Chromosome Maintenance	53	63	1	1	1	1	1	1	1	1	1	16	62	4823	0.98047	0.19769	0.19769	1.59	567320	cenpw	ENSDARG00000092136		0.00346644	0.00346644	0.00346644		0.00346644		0.00209006	0.00209006	0.00209006		0.00209006		0.00574919	0.00574919	0.00574919		0.00574919										0.00346644	0.00209006	0.00574919	0	1	0															1	567320	ENSDARG00000092136	0.00346644	0.00346644		0.00209006	0.00209006		0.00574919	0.00574919		0.00346644	0.00209006	0.00574919	0						Poly 2,1(1)	1.515392541885376	1.515392541885376	1.515392541885376	1.515392541885376	0.0	1.515392541885376	0.00346644	0.00346644	0.00209006	0.00209006	0.00574919	0.00574919	DOWN	0.0	1.0	0.0	
R-DRE-373080	Class B/2 (Secretin family receptors)	38	38	1	1	1	1	1	1	1	1	1	16	37	4848	0.9926	0.12411	0.12411	2.63	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278										0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-8957322	Metabolism of steroids	62	67	3	3	2	2	2	2	3	1	1	16	66	4819	0.97807	0.20891	0.20891	1.49	563369	cyp2r1	ENSDARG00000056587		0.00366012	0.00366012	0.00366012		0.00366012		0.00216762	0.00216762	0.00216762		0.0021676199999999994		0.00618025	0.00618025	0.00618025		0.00618025										0.00366012	0.00216762	0.00618025	0	1	0															1	563369	ENSDARG00000056587	0.00366012	0.00366012		0.00216762	0.00216762		0.00618025	0.00618025		0.00366012	0.00216762	0.00618025	0						Poly 2,1(1)	5.858227252960205	5.858227252960205	5.858227252960205	5.858227252960205	0.0	5.858227252960205	0.00366012	0.00366012	0.00216762	0.00216762	0.00618025	0.00618025	DOWN	0.0	1.0	0.0	
R-DRE-5607764	CLEC7A (Dectin-1) signaling	50	53	1	1	1	1	1	1	1	1	1	16	52	4833	0.98594	0.16898	0.16898	1.89	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-5621481	C-type lectin receptors (CLRs)	58	61	1	1	1	1	1	1	1	1	1	16	60	4825	0.98163	0.19202	0.19202	1.64	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-6791312	TP53 Regulates Transcription of Cell Cycle Genes	27	28	1	1	1	1	1	1	1	1	1	16	27	4858	0.99594	0.092935	0.092935	3.57	30079	btg2	ENSDARG00000020298		0.0463306	0.0463306	0.0463306		0.046330600000000006		0.0264137	0.0264137	0.0264137		0.026413699999999995		0.0812654	0.0812654	0.0812654		0.0812654										0.0463306	0.0264137	0.0812654	0	1	0															1	30079	ENSDARG00000020298	0.0463306	0.0463306		0.0264137	0.0264137		0.0812654	0.0812654		0.0463306	0.0264137	0.0812654	0						Linear,1(1)	1.6295682191848755	1.6295682191848755	1.6295682191848755	1.6295682191848755	0.0	1.6295682191848755	0.0463306	0.0463306	0.0264137	0.0264137	0.0812654	0.0812654	DOWN	0.0	1.0	0.0	
R-DRE-75153	Apoptotic execution phase	23	34	1	1	1	1	1	1	1	1	1	16	33	4852	0.99405	0.11176	0.11176	2.94	100170660	gbp3	ENSDARG00000003244		0.0533181	0.0533181	0.0533181		0.0533181		0.0284636	0.0284636	0.0284636		0.0284636		0.0998755	0.0998755	0.0998755		0.0998755										0.0533181	0.0284636	0.0998755	0	1	0															1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,1(1)	1.7954723834991455	1.7954723834991455	1.7954723834991455	1.7954723834991455	0.0	1.7954723834991455	0.0533181	0.0533181	0.0284636	0.0284636	0.0998755	0.0998755	DOWN	0.0	1.0	0.0	
R-DRE-389359	CD28 dependent Vav1 pathway	8	10	1	1	1	1	1	0	1	0	0	17	10	4875	0.96583	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-166663	Initial triggering of complement	8	8	1	1	1	1	1	1	1	1	1	16	7	4878	0.99969	0.027429	0.027429	12.5	492459	colec11	ENSDARG00000013266		0.0646492	0.0646492	0.0646492		0.0646492		0.0309132	0.0309132	0.0309132		0.030913199999999995		0.135202	0.135202	0.135202		0.135202		0.0	0.0646492	0.0	0.0646492	0.0309132	0.0309132	0.135202	0.135202	0.0646492	0.0309132	0.135202	1	0	1	492459	ENSDARG00000013266	0.0646492	0.0646492		0.0309132	0.0309132		0.135202	0.135202		0.0646492	0.0309132	0.135202	0															0						Linear,1(1)	1.7555389404296875	1.7555389404296875	1.7555389404296875	1.7555389404296875	0.0	1.7555389404296875	0.0646492	0.0646492	0.0309132	0.0309132	0.135202	0.135202	UP	1.0	0.0	0.0	
R-DRE-166786	Creation of C4 and C2 activators	4	4	1	1	1	1	1	1	1	1	1	16	3	4882	0.99993	0.013804	0.013804	25.0	492459	colec11	ENSDARG00000013266		0.0646492	0.0646492	0.0646492		0.0646492		0.0309132	0.0309132	0.0309132		0.030913199999999995		0.135202	0.135202	0.135202		0.135202		0.0	0.0646492	0.0	0.0646492	0.0309132	0.0309132	0.135202	0.135202	0.0646492	0.0309132	0.135202	1	0	1	492459	ENSDARG00000013266	0.0646492	0.0646492		0.0309132	0.0309132		0.135202	0.135202		0.0646492	0.0309132	0.135202	0															0						Linear,1(1)	1.7555389404296875	1.7555389404296875	1.7555389404296875	1.7555389404296875	0.0	1.7555389404296875	0.0646492	0.0646492	0.0309132	0.0309132	0.135202	0.135202	UP	1.0	0.0	0.0	
R-DRE-2173782	Binding and Uptake of Ligands by Scavenger Receptors	20	23	1	1	1	1	1	1	1	1	1	16	22	4863	0.99726	0.076959	0.076959	4.35	492459	colec11	ENSDARG00000013266		0.0646492	0.0646492	0.0646492		0.0646492		0.0309132	0.0309132	0.0309132		0.030913199999999995		0.135202	0.135202	0.135202		0.135202										0.0646492	0.0309132	0.135202	1	0	1	492459	ENSDARG00000013266	0.0646492	0.0646492		0.0309132	0.0309132		0.135202	0.135202		0.0646492	0.0309132	0.135202	0															0						Linear,1(1)	1.7555389404296875	1.7555389404296875	1.7555389404296875	1.7555389404296875	0.0	1.7555389404296875	0.0646492	0.0646492	0.0309132	0.0309132	0.135202	0.135202	UP	1.0	0.0	0.0	
R-DRE-2990846	SUMOylation	121	123	1	1	1	0	0	0	1	0	0	17	123	4762	0.64874	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-3108232	SUMO E3 ligases SUMOylate target proteins	115	117	1	1	1	0	0	0	1	0	0	17	117	4768	0.66275	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-383280	Nuclear Receptor transcription pathway	36	37	1	1	0	1	1	1	1	0	0	17	37	4848	0.87896	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-8874081	MET activates PTK2 signaling	16	16	1	1	0	1	1	1	1	0	0	17	16	4869	0.94585	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-8875878	MET promotes cell motility	24	24	1	1	0	1	1	1	1	0	0	17	24	4861	0.91982	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-422085	Synthesis, secretion, and deacylation of Ghrelin	10	11	1	1	1	1	1	1	1	1	1	16	10	4875	0.99939	0.037531	0.037531	9.09	436584	gcgb	ENSDARG00000040907		0.0379502	0.0379502	0.0379502		0.0379502		0.0233317	0.0233317	0.0233317		0.0233317		0.0617278	0.0617278	0.0617278		0.0617278		0.0	0.0379502			0.0233317		0.0617278		0.0379502	0.0233317	0.0617278	1	0	1	436584	ENSDARG00000040907	0.0379502	0.0379502		0.0233317	0.0233317		0.0617278	0.0617278		0.0379502	0.0233317	0.0617278	0															0						Linear,1(1)	1.7101099491119385	1.7101099491119385	1.7101099491119385	1.7101099491119385	0.0	1.7101099491119385	0.0379502	0.0379502	0.0233317	0.0233317	0.0617278	0.0617278	UP	1.0	0.0	0.0	
R-DRE-73614	Pyrimidine salvage	5	5	1	0	0	0	0	0	1	0	0	17	5	4880	0.98277	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-190241	FGFR2 ligand binding and activation	13	13	1	0	0	1	1	1	1	0	0	17	13	4872	0.95579	1.0	1.0	0.0																																		0	0	0															0															0																							
